arquivo_ll,otimizacao,dec_bytes,arquivo_o
extr_msg.h_msg_isdata.ll,O3,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_msg.h_msg_isdata.ll/O3.o
extr_ks8851_mll.c_ks_start_rx.ll,O3,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ks8851_mll.c_ks_start_rx.ll/O3.o
extr_af9015.c_af9015_i2c_func.ll,Os,38,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_af9015.c_af9015_i2c_func.ll/Os.o
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll,Os,74,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_lgdt330x.c_lgdt330x_get_tune_settings.ll/Os.o
extr_aw_if_dwc.c_a20_if_dwc_probe.ll,Os,217,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_aw_if_dwc.c_a20_if_dwc_probe.ll/Os.o
extr_msg.h_msg_isdata.ll,Os,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_msg.h_msg_isdata.ll/Os.o
extr_igb_main.c_igb_open.ll,Os,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_igb_main.c_igb_open.ll/Os.o
extr_ks8851_mll.c_ks_start_rx.ll,Os,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ks8851_mll.c_ks_start_rx.ll/Os.o
extr_af9015.c_af9015_i2c_func.ll,Oz,38,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_af9015.c_af9015_i2c_func.ll/Oz.o
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll,Oz,74,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_lgdt330x.c_lgdt330x_get_tune_settings.ll/Oz.o
extr_aw_if_dwc.c_a20_if_dwc_probe.ll,Oz,217,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_aw_if_dwc.c_a20_if_dwc_probe.ll/Oz.o
extr_msg.h_msg_isdata.ll,Oz,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_msg.h_msg_isdata.ll/Oz.o
extr_igb_main.c_igb_open.ll,Oz,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_igb_main.c_igb_open.ll/Oz.o
extr_ks8851_mll.c_ks_start_rx.ll,Oz,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ks8851_mll.c_ks_start_rx.ll/Oz.o
extr_synclink_gt.c_free_dma_bufs.ll,O1,152,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_synclink_gt.c_free_dma_bufs.ll/O1.o
extr_encode.c_EVP_ENCODE_CTX_num.ll,O1,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_encode.c_EVP_ENCODE_CTX_num.ll/O1.o
extr_benchmark-procfile-parser.c_pflines_reset.ll,O1,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_benchmark-procfile-parser.c_pflines_reset.ll/O1.o
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll,O1,722,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll/O1.o
extr_charmap.c_add_charmap.ll,O1,42,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_charmap.c_add_charmap.ll/O1.o
extr_..pci.h_pci_ats_enabled.ll,O1,24,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_..pci.h_pci_ats_enabled.ll/O1.o
extr_synclink_gt.c_free_dma_bufs.ll,O2,152,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_synclink_gt.c_free_dma_bufs.ll/O2.o
extr_encode.c_EVP_ENCODE_CTX_num.ll,O2,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_encode.c_EVP_ENCODE_CTX_num.ll/O2.o
extr_benchmark-procfile-parser.c_pflines_reset.ll,O2,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_benchmark-procfile-parser.c_pflines_reset.ll/O2.o
extr_..pci.h_pci_ats_enabled.ll,O2,24,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_..pci.h_pci_ats_enabled.ll/O2.o
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll,O2,722,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll/O2.o
extr_charmap.c_add_charmap.ll,O2,42,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_charmap.c_add_charmap.ll/O2.o
extr_encode.c_EVP_ENCODE_CTX_num.ll,O3,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_encode.c_EVP_ENCODE_CTX_num.ll/O3.o
extr_synclink_gt.c_free_dma_bufs.ll,O3,152,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_synclink_gt.c_free_dma_bufs.ll/O3.o
