arquivo,dec_bytes
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_athrd.c_usage.ll/melhor.ll,101
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_atmel-aes.c_atmel_aes_gcm_decrypt.ll/melhor.ll,28
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_atmel-aes.c_atmel_aes_gcm_encrypt.ll/melhor.ll,42
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_atmel.c_atmel_clear_gcr.ll/melhor.ll,252
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_audio_in.c_audio_enable_agc.ll/melhor.ll,136
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_auxtrace.c_parse_action.ll/melhor.ll,410
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aw_if_dwc.c_a20_if_dwc_probe.ll/melhor.ll,217
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aw_machdep.c_a13_attach.ll/melhor.ll,88
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ax25_std_timer.c_ax25_std_t3timer_expiry.ll/melhor.ll,100
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_axisang.h_axisang_set.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_base.c_proc_tgid_base_lookup.ll/melhor.ll,146
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bcm7xxx.c_bcm7xxx_28nm_d0_afe_config_init.ll/melhor.ll,376
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bcode.c_normalize.ll/melhor.ll,172
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_be.h_be_multi_rxq.ll/melhor.ll,50
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_benchmark-procfile-parser.c_pflines_reset.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bfa_svc.c_bfa_fcport_start.ll/melhor.ll,46
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bh1770glc.c_bh1770_get_corr_value.ll/melhor.ll,182
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bhnd_ehci.c_bhnd_ehci_post_reset.ll/melhor.ll,146
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_blake2_cryptodev.c_blake2_probe.ll/melhor.ll,46
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_blk-sysfs.c_queue_logical_block_size_show.ll/melhor.ll,60
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_blk.h_blk_should_fake_timeout.ll/melhor.ll,24
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bmac.c_bmac_init_chip.ll/melhor.ll,38
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bn_intern.c_bn_get_top.ll/melhor.ll,28
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bnx2x_cmn.h_bnx2x_fp_qzone_id.ll/melhor.ll,216
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bnx2x_dcb.c_bnx2x_dcbx_add_to_cos_bw.ll/melhor.ll,240
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bnx2x_ethtool.c_bnx2x_enable_nvram_access.ll/melhor.ll,138
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bnx2x_link.c_bnx2x_8706_read_status.ll/melhor.ll,54
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bnx2x_sriov.h_bnx2x_enable_sriov.ll/melhor.ll,24
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bsops.c_bs_set_clip.ll/melhor.ll,130
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_bt87x.c_snd_bt87x_free.ll/melhor.ll,192
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_btf.c_btf_verifier_env_free.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_btmutex.c_sqlite3BtreeEnterAll.ll/melhor.ll,88
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_btree.c_nilfs_btree_node_get_flags.ll/melhor.ll,28
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_btree.c_nilfs_btree_node_set_nchildren.ll/melhor.ll,48
